CENTRALWAVELNG,BANDWIDTH,FLAM,FLAMERR1,FLAMERR2,FLAM_AUTHORS,FNU,FNUERR1,FNUERR2,FNU_AUTHORS,OBS_DATE,OBS_DATEERR1,OBS_DATEERR2
4.96366,,2.0809781432843418e-16,1.2528260052218219e-17,-1.2528260052218219e-17,Calculated,0.001710172825639462,0.00010295874544858436,-0.00010295874544858436,M&acirc;lin et al. 2025,,,
4.96446,,2.156304463397498e-16,1.1997808958771909e-17,-1.1997808958771909e-17,Calculated,0.0017726487068017223,9.863125034630402e-05,-9.863125034630402e-05,M&acirc;lin et al. 2025,,,
4.96526,,2.1874015035542254e-16,9.952894894947672e-18,-9.952894894947672e-18,Calculated,0.0017987930207474276,8.184687559268085e-05,-8.184687559268085e-05,M&acirc;lin et al. 2025,,,
4.96606,,2.2035283939554744e-16,1.2284132796483684e-17,-1.2284132796483684e-17,Calculated,0.001812639364765233,0.0001010502189578769,-0.0001010502189578769,M&acirc;lin et al. 2025,,,
4.96686,,2.1896755892780913e-16,1.1337242391158123e-17,-1.1337242391158123e-17,Calculated,0.0018018248784754018,9.32911043705311e-05,-9.32911043705311e-05,M&acirc;lin et al. 2025,,,
4.96766,,2.1015325689858722e-16,1.1781425838477667e-17,-1.1781425838477667e-17,Calculated,0.0017298520106901513,9.697743197633264e-05,-9.697743197633264e-05,M&acirc;lin et al. 2025,,,
4.96846,,2.050989954769766e-16,1.2117247741036737e-17,-1.2117247741036737e-17,Calculated,0.001688792765872089,9.977386910039688e-05,-9.977386910039688e-05,M&acirc;lin et al. 2025,,,
4.96927,,2.0538646870118025e-16,1.393323516183108e-17,-1.393323516183108e-17,Calculated,0.0016917050001711946,0.00011476376092781662,-0.00011476376092781662,M&acirc;lin et al. 2025,,,
4.97007,,2.0354511440181618e-16,1.2711615010254609e-17,-1.2711615010254609e-17,Calculated,0.0016770787012169877,0.00010473539910019055,-0.00010473539910019055,M&acirc;lin et al. 2025,,,
4.97087,,2.0718577994788532e-16,1.1892118123333513e-17,-1.1892118123333513e-17,Calculated,0.0017076255280348996,9.801485649699896e-05,-9.801485649699896e-05,M&acirc;lin et al. 2025,,,
4.97167,,2.0963665039633967e-16,1.1922519188331127e-17,-1.1922519188331127e-17,Calculated,0.001728382325764618,9.829708404871957e-05,-9.829708404871957e-05,M&acirc;lin et al. 2025,,,
4.97247,,2.0822523887349154e-16,1.1630553475772444e-17,-1.1630553475772444e-17,Calculated,0.0017172987820088463,9.592081836999387e-05,-9.592081836999387e-05,M&acirc;lin et al. 2025,,,
4.97327,,2.108612116935374e-16,1.2398232687200977e-17,-1.2398232687200977e-17,Calculated,0.0017395986276931175,0.000102285045197508,-0.000102285045197508,M&acirc;lin et al. 2025,,,
4.97407,,2.137468625612771e-16,1.1016634554751814e-17,-1.1016634554751814e-17,Calculated,0.001763973069335037,9.091617269337418e-05,-9.091617269337418e-05,M&acirc;lin et al. 2025,,,
4.97487,,2.1743475958266198e-16,1.0510958186307871e-17,-1.0510958186307871e-17,Calculated,0.0017949857074481116,8.677094569525207e-05,-8.677094569525207e-05,M&acirc;lin et al. 2025,,,
4.97567,,2.1354115357392093e-16,1.0067842596727565e-17,-1.0067842596727565e-17,Calculated,0.0017634104290604107,8.313965873122567e-05,-8.313965873122567e-05,M&acirc;lin et al. 2025,,,
4.97647,,2.0538451114551249e-16,1.0605751987946812e-17,-1.0605751987946812e-17,Calculated,0.0016965993047637982,8.760987549104662e-05,-8.760987549104662e-05,M&acirc;lin et al. 2025,,,
4.97727,,2.1214764868877831e-16,1.2280172146325605e-17,-1.2280172146325605e-17,Calculated,0.001753030902297383,0.00010147423924373231,-0.00010147423924373231,M&acirc;lin et al. 2025,,,
4.97807,,2.0133159366652079e-16,1.2601372160945354e-17,-1.2601372160945354e-17,Calculated,0.0016641903949369354,0.00010416190589543925,-0.00010416190589543925,M&acirc;lin et al. 2025,,,
4.97887,,1.961606392334302e-16,1.2366855829512093e-17,-1.2366855829512093e-17,Calculated,0.001621969398221395,0.00010225630272245782,-0.00010225630272245782,M&acirc;lin et al. 2025,,,
4.97968,,2.0441113551544063e-16,1.2689569888286019e-17,-1.2689569888286019e-17,Calculated,0.001690732980955787,0.00010495844206417016,-0.00010495844206417016,M&acirc;lin et al. 2025,,,
4.98048,,2.050552583500579e-16,1.3792593441582683e-17,-1.3792593441582683e-17,Calculated,0.0016966061916185366,0.00011411850454241128,-0.00011411850454241128,M&acirc;lin et al. 2025,,,
4.98128,,2.1719242808252918e-16,1.424637374784022e-17,-1.424637374784022e-17,Calculated,0.0017976057899677061,0.0001179109426661523,-0.0001179109426661523,M&acirc;lin et al. 2025,,,
4.98208,,2.0143547252346435e-16,1.3875286599370357e-17,-1.3875286599370357e-17,Calculated,0.0016677284892835924,0.00011487654318704615,-0.00011487654318704615,M&acirc;lin et al. 2025,,,
4.98288,,2.1018449939867152e-16,1.649227886105905e-17,-1.649227886105905e-17,Calculated,0.0017407230362915917,0.00013658709284711313,-0.00013658709284711313,M&acirc;lin et al. 2025,,,
