wavelength,flux,err
1.957180738449097,1.569534200995385e-15,3.8056057216650626e-17
1.9574683904647827,1.7093469021244212e-15,3.941057064839343e-17
1.9577559232711792,1.6478411364299048e-15,4.281189441369297e-17
1.9580434560775757,1.5156498667446845e-15,4.137316473181799e-17
1.9583311080932615,1.4739263836282828e-15,3.476839711084262e-17
1.9586186408996584,1.6235648199187116e-15,3.450682534706169e-17
1.9589061737060545,1.6948757846571177e-15,4.994391981864781e-17
1.9591938257217407,1.4842954350673649e-15,7.081379611745786e-17
1.9594813585281372,1.5840349504861181e-15,5.527017639708768e-17
1.9597690105438232,1.502397038038123e-15,2.9471930796463576e-17
1.9600565433502195,1.52891160381272e-15,1.9470659888683656e-17
1.960344076156616,1.613047702134709e-15,1.8888596634155537e-17
1.9606317281723025,1.531344055356258e-15,2.1818152330236162e-17
1.9609192609786987,1.328247198265813e-15,2.509330996096886e-17
1.9612067937850952,1.4584763778933237e-15,2.3915917612309703e-17
1.9614944458007812,1.5555501364701454e-15,2.7494265758084776e-17
1.9617819786071775,1.5476868664553664e-15,3.7091756390908517e-17
1.9620696306228635,1.4792341729389565e-15,3.9109640923113284e-17
1.96235716342926,1.7328347817590503e-15,3.157210045702048e-17
1.9626446962356567,1.6869932913359999e-15,3.072744713094425e-17
1.9629323482513428,1.7661368625712694e-15,3.3512233161925845e-17
1.9632198810577393,1.5524946622567824e-15,3.5130214314644864e-17
1.9635074138641355,1.4460680618544988e-15,3.608170644038601e-17
1.9637950658798216,1.3291084961620117e-15,4.806039623445137e-17
1.9640825986862185,1.5831536791057722e-15,7.247660625498925e-17
1.964370250701904,1.5263539663474156e-15,7.625556249608951e-17
1.9646577835083008,1.3996661886086196e-15,4.961474414065448e-17
1.9649453163146973,1.4894820706619919e-15,2.553303723270196e-17
1.9652329683303833,1.4669912711068706e-15,2.3103029627805304e-17
1.9655205011367796,1.651818766714168e-15,2.2542191130565453e-17
1.965808033943176,1.469721730784771e-15,2.229005812741209e-17
1.9660956859588623,1.5285151348410133e-15,2.1434210741852056e-17
1.9663832187652588,1.5977213819658992e-15,1.9997872251741146e-17
1.9666708707809448,1.5729532301291145e-15,2.0112844326824192e-17
1.9669584035873413,1.5987682550974358e-15,2.0586114216850832e-17
1.9672459363937376,1.4605391793218025e-15,2.2964544167042146e-17
1.967533588409424,1.5464546994051701e-15,3.5166457280010227e-17
1.9678211212158203,1.328387669060424e-15,4.4776533903798084e-17
1.9681086540222168,1.4066099281748277e-15,3.755571499192736e-17
1.9683963060379028,1.552527388763671e-15,2.2710063927855662e-17
1.968683838844299,1.4730737127768801e-15,1.9044192595789362e-17
1.968971371650696,1.5570102638018504e-15,1.821902484524652e-17
1.9692590236663816,1.4880107844353877e-15,1.9470613002570636e-17
1.9695465564727783,1.729415096219739e-15,2.6959632202450658e-17
1.9698342084884644,1.7376280428654297e-15,4.245501783405034e-17
1.9701217412948608,1.6577637383007992e-15,5.648073480994518e-17
1.970409274101257,1.777486302633624e-15,5.0327500970038056e-17
1.9706969261169431,1.6113357963760801e-15,3.2234557278278546e-17
1.97098445892334,1.4020606624006105e-15,2.0695763252914946e-17
1.9712719917297363,1.4601085772598161e-15,2.0872567854735684e-17
1.9715596437454224,1.5168213631646313e-15,2.192227613091894e-17
1.9718471765518188,1.545255633950767e-15,2.0893911292497537e-17
1.9721348285675049,1.3715961291484323e-15,1.9114367920262754e-17
1.9724223613739011,1.6220014493661342e-15,1.7669541578503977e-17
1.9727098941802976,1.79993030984795e-15,1.6350569285622256e-17
1.972997546195984,1.5613942091415552e-15,1.741571921009082e-17
1.9732850790023804,1.4568565564606683e-15,2.3892443786787446e-17
1.9735726118087769,1.5162426947577241e-15,3.155221488433538e-17
1.973860263824463,1.5288632173440824e-15,3.4475514214709746e-17
1.9741477966308592,1.4012408118283225e-15,2.6677919922745075e-17
1.9744354486465456,1.4718216660147629e-15,1.9352405785689125e-17
1.9747229814529417,1.5884482465325738e-15,2.4513319951750897e-17
1.9750105142593384,1.6308756777498754e-15,3.656644731100148e-17
1.9752981662750244,1.5267958210765272e-15,3.9055264753536997e-17
1.975585699081421,1.4235319703141995e-15,2.9143291378387935e-17
1.9758732318878172,1.2805120715100636e-15,2.0961378943943956e-17
1.9761608839035032,1.2798354111269424e-15,1.8805023602886344e-17
1.9764484167099,1.3989627093688502e-15,1.7274133405104136e-17
1.976736068725586,1.4372298420055579e-15,2.913430096621613e-17
1.9770236015319824,1.5407177146159008e-15,5.163726453728422e-17
1.977311134338379,1.4797197255254036e-15,5.867216242873365e-17
1.9775987863540647,1.3733578279590893e-15,4.01038873231656e-17
1.9778863191604616,1.2949058268908824e-15,2.0464085781758096e-17
1.978173851966858,1.2321523279566466e-15,1.6160378698533975e-17
1.978461503982544,1.2300541743989497e-15,1.4672005414115764e-17
1.9787490367889404,1.365624432477379e-15,1.3874998635206256e-17
1.9790366888046265,1.5241665416305265e-15,1.4019328742995712e-17
1.9793242216110227,1.6288766414351052e-15,1.5777871532170112e-17
1.9796117544174192,1.5004664554483636e-15,1.9877064320777994e-17
1.9798994064331057,1.4464925687217924e-15,2.2271911736481868e-17
1.980186939239502,1.497037767775352e-15,2.1273608222462192e-17
1.9804744720458984,1.2989318436437835e-15,1.967142182906718e-17
1.9807621240615845,1.3962048682009453e-15,1.7597332568878294e-17
1.9810496568679807,1.4432950295859753e-15,1.5597531424389374e-17
1.9813373088836668,1.4505740986325107e-15,1.4673296247414882e-17
1.9816248416900633,1.4738725583705344e-15,1.4153140244367077e-17
1.98191237449646,1.4502033232507392e-15,1.3902005036306446e-17
1.982200026512146,1.5094613686870213e-15,1.4274400919359088e-17
1.9824875593185425,1.4866617771915428e-15,1.4814134804975288e-17
1.9827750921249387,1.3734710110359225e-15,1.504296980553023e-17
1.9830627441406248,1.4498076044568409e-15,1.465032205203451e-17
1.9833502769470217,1.5591879362072313e-15,1.5669738968824026e-17
1.983637809753418,1.606240026068488e-15,2.528762359562094e-17
1.983925461769104,1.5477257819291741e-15,3.3692056057272324e-17
