wavelength,flux,err
5.08858,2.0511302798233331e-16,1.1119682121661744e-17
5.08938,2.0281680414087014e-16,1.0676684133091817e-17
5.09018,2.071754276738701e-16,9.796135862180964e-18
5.09098,2.1294505221214854e-16,9.356438211444677e-18
5.09178,1.8602187631851856e-16,9.74425817716812e-18
5.09258,1.875927582518545e-16,1.1384453703695922e-17
5.09338,1.9424794646260243e-16,1.037517270625233e-17
5.09418,1.947046049693049e-16,1.1340847827423052e-17
5.09499,1.8806130205511662e-16,1.1164799967348293e-17
5.09579,1.9162888290616582e-16,1.1705732433598164e-17
5.09659,1.9912164213970656e-16,9.402602856623584e-18
5.09739,2.1222542126625368e-16,1.050676930058398e-17
5.09819,2.0272564655664886e-16,1.1993292952985549e-17
5.09899,1.8373080458745864e-16,1.1161126077972677e-17
5.09979,1.906740851225757e-16,1.2705714089096645e-17
5.10059,1.9683278491435702e-16,1.1526483236649465e-17
5.10139,2.0128362998669924e-16,1.0792197142429499e-17
5.10219,2.0602726585152022e-16,9.730132317754113e-18
5.10299,1.997698383866089e-16,1.0326379267607641e-17
5.10379,1.951138180962193e-16,1.175921604928965e-17
5.10459,1.919809753273105e-16,1.1490052382590304e-17
5.1054,1.81470389736704e-16,1.3678845840679605e-17
5.1062,1.8905665647722608e-16,1.072095047631643e-17
5.107,1.8721133745168702e-16,9.594565168102319e-18
5.1078,1.802174097227697e-16,1.0356604800070393e-17
5.1086,1.931537877404463e-16,9.699943362052021e-18
5.1094,1.957947349291796e-16,9.6253470200268e-18
5.1102,1.8824165090122322e-16,1.1007889510131976e-17
5.111,1.8314784731404842e-16,1.2298865836133552e-17
5.1118,1.8800651166793704e-16,1.0754170388600809e-17
5.1126,1.9895807643262183e-16,1.1163647027511072e-17
5.1134,1.8926416241971608e-16,9.952569046411148e-18
5.1142,1.8198310758197792e-16,1.0538522097106962e-17
5.115,1.9044544211037344e-16,1.1325677282284384e-17
5.11581,1.9284733336966415e-16,1.1382665314676922e-17
5.11661,1.9892858208971615e-16,1.2875620872583569e-17
5.11741,1.9319892182870379e-16,1.0657721608397765e-17
5.11821,1.9019152980351115e-16,1.1903418790090756e-17
5.11901,1.7787647943309104e-16,9.775936065477159e-18
5.11981,1.9240102531122551e-16,1.0924360212753316e-17
5.12061,1.9005546652082534e-16,1.1079729776644184e-17
5.12141,1.9114880796422823e-16,9.118129249930156e-18
5.12221,1.9951049254938042e-16,9.932558342377596e-18
5.12301,2.0114724943130022e-16,8.914592627778471e-18
5.12381,2.0016250905669443e-16,1.0550889717043157e-17
5.12461,1.975987178043382e-16,9.424666914913992e-18
5.12541,1.9258635544404623e-16,1.0229494874311737e-17
5.12622,2.0207847637578094e-16,1.1039973690863566e-17
5.12702,1.9820681273755582e-16,9.862532976669464e-18
5.12782,1.8518800611494627e-16,9.891171347218314e-18
5.12862,1.8174573233607207e-16,1.1007500021058509e-17
5.12942,1.9305348555815135e-16,1.2944544930000453e-17
5.13022,1.9186597762101056e-16,1.0127415354336188e-17
5.13102,1.9118521810072922e-16,1.086160825627509e-17
5.13182,1.891475443756631e-16,1.0308008794980825e-17
5.13262,1.9705764453926694e-16,1.0547638042455433e-17
5.13342,1.86107082844506e-16,1.051650340105539e-17
5.13422,1.8943160000668112e-16,1.0766733426352573e-17
5.13502,2.0417973894583614e-16,9.477551035554125e-18
5.13582,1.9635828192152543e-16,9.666043282471053e-18
5.13663,2.0118561518266463e-16,1.0187992315667656e-17
5.13743,1.9317745771280455e-16,1.0120654588845455e-17
