wavelength,flux,error
4893.68,8.003341353036415e-19,5.701753636452026e-17
4894.93,1.7607300968451413e-18,4.9834666469229584e-17
4896.18,2.3903299624648594e-18,5.259335527402182e-17
4897.43,8.210384995730623e-19,4.9031117549413576e-17
4898.68,2.813377734879616e-18,4.7668353939903515e-17
4899.93,1.9798982579657424e-18,4.800832368853565e-17
4901.18,1.123647005804134e-18,5.315584570602008e-17
4902.43,-5.203787366933404e-19,5.295776852140876e-17
4903.68,-3.828315347923602e-20,5.604179953885343e-17
4904.93,2.309289366613084e-18,5.586679550703917e-17
4906.18,2.6351181154013652e-18,5.775364075728532e-17
4907.43,1.307717177497315e-18,6.432886316482038e-17
4908.68,7.566374333633472e-19,6.0506292175735e-17
4909.93,2.119548249452321e-18,6.428836614126986e-17
4911.18,3.044949974734668e-18,5.947506433231392e-17
4912.43,-5.001611296492635e-19,6.65345342523916e-17
4913.68,1.0259849956992784e-18,6.76141783756545e-17
4914.93,1.920368455649926e-18,6.064395267856945e-17
4916.18,9.786135965459484e-19,7.195855683545273e-17
4917.43,-1.0465012496152302e-18,6.517493740688761e-17
4918.68,2.8438373831121154e-18,6.527536447601204e-17
4919.93,1.3171558429129101e-18,5.813834989019124e-17
4921.18,-3.293452670690792e-19,6.525134871952406e-17
4922.43,1.7865215955418e-18,7.330920223562657e-17
4923.68,-1.3057369314060041e-18,8.100207598640994e-17
4924.93,3.790070020357033e-19,7.732924831556517e-17
4926.18,3.008042689736821e-18,7.269907663940882e-17
4927.43,1.0333359681473746e-18,7.91539275104796e-17
4928.68,6.417297097578558e-19,7.816775337263602e-17
4929.93,2.922786583502867e-19,7.763842547244061e-17
4931.18,-1.6286762740491915e-19,7.288171579571119e-17
4932.43,-1.8630777605096917e-18,7.44476259925222e-17
4933.68,5.31132223698608e-19,7.042546150160734e-17
4934.93,-1.0167359835536496e-19,7.677492919341636e-17
4936.18,-9.594787716495262e-19,7.814578672123622e-17
4937.43,-3.2748922701988044e-18,7.702827890486122e-17
4938.68,9.673722546634189e-19,8.130638093072497e-17
4939.93,5.875208229770882e-19,8.476371356853234e-17
4941.18,5.720108281063426e-19,8.350969581557707e-17
4942.43,1.298731837280013e-18,8.537847863890669e-17
4943.68,7.420368532844891e-19,8.437340009761823e-17
4944.93,3.0551033377741775e-18,8.617033160944202e-17
4946.18,-6.070513241509593e-20,8.378661565767541e-17
4947.43,1.7268280039159814e-18,1.0108457086043406e-16
4948.68,2.25667686173173e-18,9.319795637848584e-17
4949.93,2.0245847120436183e-18,9.57839180508331e-17
4951.18,-9.79728430279774e-19,9.249955257450217e-17
4952.43,-5.074047038739701e-19,9.360923918578029e-17
4953.68,-9.92237198200375e-19,7.699046706140228e-17
4954.93,4.2391126967431756e-18,4.9815954844219276e-17
4956.18,4.564113960023023e-18,3.7315096028449324e-17
4957.43,2.253707098212658e-18,3.666623046726811e-17
4958.68,-6.010451066964333e-19,3.308028256846902e-17
4959.93,1.878181333880188e-18,3.192125210071785e-17
4961.18,1.1151566650671367e-18,3.671983312703262e-17
4962.43,3.3947472743664113e-18,3.3909517910159975e-17
4963.68,1.4871581220548849e-19,3.7270944224106294e-17
4964.93,-1.002665763649064e-18,4.1462860607001093e-17
4966.18,-2.0113879626964626e-18,4.442140923838363e-17
4967.43,2.1874299907213106e-18,4.4099325473645655e-17
4968.68,3.844545203178604e-19,4.863088254707036e-17
4969.93,-1.4431746393803248e-18,5.792193418728213e-17
4971.18,-1.6009600972588972e-18,5.545759487983612e-17
4972.43,7.875368705712591e-19,5.502692927358536e-17
4973.68,-3.752736719000061e-20,5.1637579148812283e-17
4974.93,1.4743086256160818e-18,5.408414614830132e-17
4976.18,1.3570982167335218e-18,5.20213124272212e-17
4977.43,6.27795253776506e-19,4.836574326659506e-17
4978.68,1.557583738382211e-18,5.419452695315553e-17
4979.93,-3.6589462045079024e-19,4.876132049026633e-17
4981.18,1.0695155438909369e-18,5.416357210408489e-17
4982.43,-1.8900570814901164e-18,4.3136708388768103e-17
4983.68,5.034839579159253e-18,5.358081291425507e-17
4984.93,5.244563523063842e-18,5.591411216056657e-17
4986.18,1.5586684808506685e-18,6.176198723318057e-17
4987.43,2.893825755501288e-18,6.191012652824026e-17
4988.68,-8.702405942656931e-19,5.780784593217565e-17
4989.93,1.821660495772433e-18,6.001795876392262e-17
4991.18,-2.2401288006153926e-18,6.487049457489354e-17
4992.43,6.916620462328581e-19,6.712734964320303e-17
4993.68,-7.26906980203672e-19,6.938033629492271e-17
4994.93,1.830371438529837e-18,6.939417109135045e-17
4996.18,-2.1124159797863375e-18,6.45166798631251e-17
4997.43,1.627234909143228e-19,6.30448585189687e-17
4998.68,3.861744126433755e-19,6.22682751176065e-17
4999.93,-7.02647502289018e-19,4.970113116379222e-17
5001.18,4.402621512468631e-19,3.896751806054843e-17
5002.43,-1.4285723158070602e-19,4.8409149001877025e-17
5003.68,2.188378077497249e-18,4.535881271476914e-17
5004.93,-1.243980948153481e-19,4.7533051760762487e-17
5006.18,1.6010889225482093e-18,4.377741501900837e-17
5007.43,1.2220806705997245e-18,3.789139673697634e-17
5008.68,1.03099960522601e-18,4.4487012247509597e-17
5009.93,3.166057118508816e-18,4.845989147891946e-17
5011.18,3.3390433838675942e-18,4.888565821562032e-17
5012.43,-4.78144561241539e-19,5.297535149986962e-17
5013.68,1.2515905258624053e-18,5.631278589404812e-17
5014.93,2.525010921978718e-18,4.8185934134646314e-17
5016.18,2.4632941007212255e-19,4.83354906418314e-17
5017.43,-1.6650480552678543e-18,5.428048952474882e-17
5018.68,2.3286228736946123e-18,6.700030739623447e-17
5019.93,1.964750120229617e-18,6.046780392966493e-17
5021.18,6.129300835683582e-19,5.3147587475739675e-17
5022.43,7.081894403757805e-19,5.1739721901453185e-17
5023.68,3.665193759414871e-18,5.4898754987372233e-17
5024.93,2.533683847065995e-18,5.281199992184984e-17
5026.18,-1.240134231072352e-19,5.863977427707889e-17
5027.43,3.166596526626137e-18,5.665790768024313e-17
5028.68,-1.4815631552500098e-18,5.1441194274953805e-17
5029.93,3.543234402611981e-18,5.575564046177196e-17
5031.18,1.0462421364957839e-19,6.139717604037265e-17
5032.43,6.843047812629244e-19,5.970724887563217e-17
5033.68,2.7282659540454873e-18,6.765268486046428e-17
5034.93,-1.3028498252369246e-18,6.377810739630578e-17
5036.18,-2.2048961088999593e-18,6.103668317206071e-17
5037.43,2.470815558239783e-18,6.16422380494925e-17
5038.68,6.332674667984017e-19,6.636788953685162e-17
5039.93,2.137454939469902e-18,6.96445075261175e-17
5041.18,2.095108587311175e-18,6.31206456118002e-17
